Dataset,Board,Sensor,Kepco_Current_A,Resistance_Ohms,Magnetic_Field_T
Hsin Tings Board,Board1,A,-1,64151.9,-26.7582
Hsin Tings Board,Board1,A,-0.975,64104.51,-26.1054
Hsin Tings Board,Board1,A,-0.95,64054.18,-25.4588
Hsin Tings Board,Board1,A,-0.925,64006.99,-24.784
Hsin Tings Board,Board1,A,-0.9,63957.19,-24.1221
Hsin Tings Board,Board1,A,-0.875,63905.84,-23.4842
Hsin Tings Board,Board1,A,-0.85,63857.42,-22.821
Hsin Tings Board,Board1,A,-0.825,63808.07,-22.163
Hsin Tings Board,Board1,A,-0.8,63758.66,-21.5131
Hsin Tings Board,Board1,A,-0.775,63711.26,-20.8519
Hsin Tings Board,Board1,A,-0.75,63662.76,-20.2024
Hsin Tings Board,Board1,A,-0.725,63613.85,-19.5393
Hsin Tings Board,Board1,A,-0.7,63567.82,-18.8916
Hsin Tings Board,Board1,A,-0.675,63518.67,-18.2231
Hsin Tings Board,Board1,A,-0.65,63470.2,-17.5779
Hsin Tings Board,Board1,A,-0.625,63423.04,-16.9143
Hsin Tings Board,Board1,A,-0.6,63373.46,-16.2541
Hsin Tings Board,Board1,A,-0.575,63326.23,-15.6079
Hsin Tings Board,Board1,A,-0.55,63280.24,-14.951
Hsin Tings Board,Board1,A,-0.525,63230.98,-14.2854
Hsin Tings Board,Board1,A,-0.5,63183.09,-13.6407
Hsin Tings Board,Board1,A,-0.475,63133.76,-12.9743
Hsin Tings Board,Board1,A,-0.45,63086.53,-12.3235
Hsin Tings Board,Board1,A,-0.425,63037.69,-11.6482
Hsin Tings Board,Board1,A,-0.4,62992.5,-11.0007
Hsin Tings Board,Board1,A,-0.375,62945.29,-10.35
Hsin Tings Board,Board1,A,-0.35,62896.17,-9.6972
Hsin Tings Board,Board1,A,-0.325,62850.52,-9.0344
Hsin Tings Board,Board1,A,-0.3,62802.89,-8.3701
Hsin Tings Board,Board1,A,-0.275,62754.32,-7.6996
Hsin Tings Board,Board1,A,-0.25,62706.55,-7.0391
Hsin Tings Board,Board1,A,-0.225,62658.2,-6.3904
Hsin Tings Board,Board1,A,-0.2,62610.75,-5.7218
Hsin Tings Board,Board1,A,-0.175,62564.07,-5.0734
Hsin Tings Board,Board1,A,-0.15,62516.32,-4.418
Hsin Tings Board,Board1,A,-0.125,62473.26,-3.7493
Hsin Tings Board,Board1,A,-0.1,62424.41,-3.1008
Hsin Tings Board,Board1,A,-0.075,62377.88,-2.4326
Hsin Tings Board,Board1,A,-0.0499999999999999,62332.58,-1.7524
Hsin Tings Board,Board1,A,-0.0249999999999999,62284.73,-1.10058
Hsin Tings Board,Board1,A,0,62239.61,-0.43773
Hsin Tings Board,Board1,A,0.0249999999999999,62193.07,0.20944
Hsin Tings Board,Board1,A,0.0499999999999999,62147.73,0.87721
Hsin Tings Board,Board1,A,0.075,62102.07,1.53083
Hsin Tings Board,Board1,A,0.1,62056.37,2.20113
Hsin Tings Board,Board1,A,0.125,62010.83,2.8508
Hsin Tings Board,Board1,A,0.15,61964.24,3.3125
Hsin Tings Board,Board1,A,0.175,61917.36,4.214
Hsin Tings Board,Board1,A,0.2,61871.63,4.9244
Hsin Tings Board,Board1,A,0.225,61825.87,5.611
Hsin Tings Board,Board1,A,0.25,61779.22,6.321
Hsin Tings Board,Board1,A,0.275,61731.29,7.0578
Hsin Tings Board,Board1,A,0.3,61686.28,7.8601
Hsin Tings Board,Board1,A,0.325,61640.5,8.5299
Hsin Tings Board,Board1,A,0.35,61594.71,9.2537
